Distance_(pixels);Gray_Value;X_Fit:_Gaussian;Fit:_Gaussian
428;102.658;506.831;142.4629
429;102.857;508.015;143.3634
430;103.265;509.199;144.2704
431;103.690;510.383;145.1836
432;104.188;511.568;146.1024
433;104.422;512.752;147.0264
434;104.672;513.936;147.9551
435;104.348;515.120;148.8882
436;104.333;516.304;149.8251
437;104.073;517.488;150.7651
438;104.000;518.673;151.7081
439;103.518;519.857;152.6532
440;103.000;521.041;153.6000
441;103.513;522.225;154.5481
442;104.312;523.409;155.4967
443;104.458;524.594;156.4453
444;105.168;525.778;157.3934
445;106.979;526.962;158.3403
446;109.476;528.146;159.2854
447;110.863;529.330;160.2282
448;112.393;530.515;161.1680
449;113.555;531.699;162.1042
450;114.755;532.883;163.0362
451;115.639;534.067;163.9633
452;115.628;535.251;164.8849
453;115.578;536.435;165.8003
454;116.207;537.620;166.7089
455;116.974;538.804;167.6101
456;118.469;539.988;168.5031
457;121.073;541.172;169.3873
458;123.073;542.356;170.2621
459;125.767;543.541;171.1268
460;128.740;544.725;171.9808
461;130.366;545.909;172.8233
462;130.646;547.093;173.6538
463;130.864;548.277;174.4716
464;131.627;549.461;175.2761
465;133.275;550.646;176.0665
466;131.755;551.830;176.8423
467;130.464;553.014;177.6029
468;128.810;554.198;178.3476
469;127.580;555.382;179.0758
470;127.302;556.567;179.7870
471;127.525;557.751;180.4804
472;127.785;558.935;181.1557
473;127.878;560.119;181.8121
474;128.011;561.303;182.4491
475;129.194;562.487;183.0662
476;130.622;563.672;183.6629
477;131.251;564.856;184.2385
478;132.335;566.040;184.7928
479;133.224;567.224;185.3251
480;133.177;568.408;185.8349
481;133.329;569.593;186.3220
482;133.238;570.777;186.7857
483;133.213;571.961;187.2258
484;133.556;573.145;187.6417
485;133.187;574.329;188.0332
486;131.780;575.513;188.3999
487;130.832;576.698;188.7415
488;130.191;577.882;189.0576
489;130.310;579.066;189.3480
490;130.654;580.250;189.6124
491;131.489;581.434;189.8506
492;132.109;582.619;190.0624
493;132.464;583.803;190.2475
494;131.869;584.987;190.4058
495;130.667;586.171;190.5371
496;130.667;587.355;190.6414
497;129.871;588.540;190.7185
498;130.414;589.724;190.7684
499;130.790;590.908;190.7910
500;131.163;592.092;190.7863
501;132.223;593.276;190.7543
502;134.366;594.460;190.6951
503;136.264;595.645;190.6086
504;138.181;596.829;190.4950
